Date,Day,PDH,PDH_Time,PDM,PDM_Time,PDL,PDL_Time,HighOfDay%,High_Of_Day_Time,LowOfDay%,Low_Of_Day_Time,Day_Range,P12_Hour_High_Hit_TF,P_12_Hour_High_Hit_Time,P12_Hour_Mid_Hit_TF,P_12_Hour_Mid_Hit_Time,P12_Hour_Low_Hit_TF,P_12_Hour_Low_Hit_Time,AsiaDirection,AsiaSession,AsiaModelStatus,LondonDirection,LondonSession,LondonModelStatus,NY1Direction,NY1Session,NY1ModelStatus
2008-03-01 00:00:00,Thursday,False,,False,,False,,0.43,12:30:00,-0.78,15:30:00,25.25,12:25:00,True,07:20:00,True,06:50:00,True,Long,1.0,Broken,Short,1.0,Broken,Long,0.0,Broken
2008-04-01 00:00:00,Friday,True,23:10:00,True,08:20:00,True,08:30:00,0.43,23:40:00,-4.68,16:00:00,106.0,,False,07:00:00,True,08:10:00,True,Short,0.0,Broken,Long,0.0,Complete,Short,1.0,Complete
2008-07-01 00:00:00,Monday,False,,False,,True,09:35:00,0.54,07:05:00,-2.07,10:35:00,51.75,07:05:00,True,07:40:00,True,09:35:00,True,Long,1.0,Broken,Short,0.0,Broken,Short,1.0,Broken
2008-08-01 00:00:00,Tuesday,True,10:10:00,True,11:45:00,True,15:20:00,1.22,10:25:00,-2.67,16:05:00,76.75,07:10:00,True,09:00:00,True,11:45:00,True,Long,1.0,Broken,Long,1.0,Broken,Short,0.0,Broken
2008-09-01 00:00:00,Wednesday,False,,True,15:55:00,True,09:00:00,1.79,15:55:00,-1.41,14:15:00,61.75,09:40:00,True,06:10:00,True,08:10:00,True,Long,1.0,Broken,Short,1.0,Broken,Short,0.0,Broken
2008-10-01 00:00:00,Thursday,True,12:15:00,False,,False,,1.01,15:30:00,-1.29,09:30:00,45.0,12:15:00,True,07:15:00,True,07:00:00,True,Short,1.0,Broken,Short,1.0,Broken,Short,1.0,Broken
2008-11-01 00:00:00,Friday,False,,True,19:00:00,True,11:05:00,0.28,18:30:00,-2.31,15:10:00,50.75,,False,06:10:00,True,06:45:00,True,Short,1.0,Complete,Long,0.0,Broken,Long,0.0,Broken
14/01/2008,Monday,True,15:00:00,True,07:30:00,True,02:00:00,1.93,15:40:00,-1.12,02:00:00,58.75,07:30:00,True,,False,,False,Long,0.0,Complete,Long,1.0,Complete,Long,1.0,Broken
15/01/2008,Tuesday,False,,True,08:30:00,True,13:50:00,0.1,20:40:00,-3.15,15:00:00,63.75,,False,06:30:00,True,07:30:00,True,Long,0.0,Complete,Long,0.0,Complete,Short,1.0,Complete
16/01/2008,Wednesday,False,,False,,True,09:30:00,2.62,14:40:00,-0.59,10:50:00,60.0,07:00:00,True,06:00:00,True,10:45:00,True,Long,1.0,Broken,Long,0.0,Broken,Long,0.0,Broken
17/01/2008,Thursday,False,,True,00:35:00,True,14:40:00,1.11,09:50:00,-1.87,15:50:00,56.25,08:50:00,True,07:00:00,True,07:20:00,True,Long,0.0,Broken,Short,1.0,Broken,Long,0.0,Broken
18/01/2008,Friday,False,,True,05:35:00,True,11:45:00,1.18,10:10:00,-1.39,11:55:00,48.0,07:50:00,True,09:25:00,True,09:30:00,True,Long,1.0,Broken,Short,0.0,Broken,Short,0.0,Complete
22/01/2008,Tuesday,False,,False,,False,,2.74,15:35:00,-1.98,02:15:00,84.0,08:20:00,True,06:00:00,True,,False,Short,0.0,Broken,Long,1.0,Broken,Short,0.0,Complete
23/01/2008,Wednesday,False,,True,02:55:00,True,08:10:00,1.9,16:10:00,-4.5,12:45:00,113.75,15:35:00,True,15:20:00,True,06:20:00,True,Long,0.0,Broken,Short,1.0,Broken,Short,0.0,Broken
24/01/2008,Thursday,True,18:35:00,False,,False,,1.5,16:10:00,-0.68,10:20:00,39.5,06:00:00,True,08:00:00,True,10:20:00,True,Short,0.0,Broken,Short,0.0,Broken,Long,0.0,Broken
25/01/2008,Friday,True,10:30:00,True,12:55:00,True,14:50:00,1.15,09:25:00,-3.31,16:10:00,82.5,06:35:00,True,06:05:00,True,10:00:00,True,Long,0.0,Broken,Short,0.0,Broken,Long,0.0,Complete
28/01/2008,Monday,False,,False,,True,18:35:00,1.02,16:05:00,-1.95,01:20:00,53.25,09:15:00,True,07:05:00,True,,False,Short,1.0,Broken,Long,1.0,Complete,Long,0.0,Complete
29/01/2008,Tuesday,True,05:55:00,False,,False,,1.07,09:05:00,-0.46,10:00:00,27.5,06:00:00,True,09:55:00,True,10:00:00,True,Short,1.0,Broken,Long,1.0,Broken,Long,0.0,Broken
30/01/2008,Wednesday,True,14:10:00,True,09:30:00,True,04:20:00,2.27,15:05:00,-0.7,04:35:00,53.75,09:30:00,True,06:15:00,True,,False,Short,0.0,Complete,Long,0.0,Broken,Long,1.0,Broken
31/01/2008,Thursday,True,15:25:00,True,11:45:00,True,23:40:00,3.75,15:50:00,-0.54,08:35:00,77.0,11:25:00,True,06:20:00,True,08:35:00,True,Long,1.0,Broken,Short,1.0,Broken,Short,0.0,Complete
2008-01-02 00:00:00,Friday,True,06:30:00,False,,False,,2.36,06:40:00,-0.26,10:45:00,48.0,06:30:00,True,10:40:00,True,10:45:00,True,Short,1.0,Broken,Long,1.0,Broken,Long,0.0,Complete
2008-04-02 00:00:00,Monday,False,,True,09:40:00,True,16:00:00,0.24,06:40:00,-2.19,16:10:00,45.25,06:25:00,True,06:05:00,True,09:30:00,True,,,Broken,Short,0.0,Broken,Short,1.0,Complete
2008-05-02 00:00:00,Tuesday,False,,False,,True,20:05:00,0.29,05:35:00,-2.56,15:45:00,52.0,,False,06:20:00,True,07:30:00,True,Short,0.0,Broken,Short,0.0,Complete,Short,1.0,Complete
2008-06-02 00:00:00,Wednesday,False,,False,,True,22:30:00,0.8,11:25:00,-2.83,16:05:00,64.75,06:30:00,True,09:30:00,True,13:45:00,True,Long,0.0,Broken,Long,1.0,Broken,Short,0.0,Broken
2008-07-02 00:00:00,Thursday,False,,True,13:40:00,True,03:20:00,3.72,14:05:00,-0.48,08:30:00,72.25,09:35:00,True,09:30:00,True,07:45:00,True,Short,0.0,Broken,Short,1.0,Broken,Short,0.0,Complete
2008-08-02 00:00:00,Friday,False,,False,,False,,0.89,11:10:00,-1.05,13:40:00,34.25,09:35:00,True,,False,06:05:00,True,Short,1.0,Broken,Short,1.0,Broken,Long,0.0,Broken
2008-11-02 00:00:00,Monday,True,08:10:00,True,22:00:00,False,,1.56,14:10:00,-0.62,22:20:00,38.75,07:10:00,True,,False,,False,Short,1.0,Broken,Short,0.0,Broken,Short,1.0,Broken
2008-12-02 00:00:00,Tuesday,True,08:10:00,True,22:00:00,False,,1.27,10:55:00,-1.18,15:35:00,44.0,06:15:00,True,15:05:00,True,15:20:00,True,Long,1.0,Broken,Short,0.0,Broken,Long,1.0,Broken
13/02/2008,Wednesday,True,13:15:00,True,04:45:00,False,,2.09,13:50:00,-0.42,02:10:00,45.0,08:30:00,True,06:55:00,True,,False,Short,1.0,Broken,Short,0.0,Complete,Long,1.0,Complete
14/02/2008,Thursday,True,01:40:00,True,11:10:00,False,,0.31,08:35:00,-2.05,14:45:00,43.25,08:35:00,True,06:30:00,True,09:30:00,True,Short,0.0,Broken,Short,1.0,Broken,Long,0.0,Complete
15/02/2008,Friday,False,,False,,True,18:35:00,0.56,03:35:00,-1.12,13:05:00,30.0,,False,06:00:00,True,07:20:00,True,Short,0.0,Broken,Long,0.0,Complete,Short,0.0,Broken
19/02/2008,Tuesday,True,04:30:00,True,14:30:00,True,14:55:00,2.15,18:00:00,-3.04,15:50:00,55.25,,False,06:35:00,True,09:55:00,True,Short,1.0,Broken,Short,1.0,Broken,Long,0.0,Complete
20/02/2008,Wednesday,False,,True,14:45:00,True,08:25:00,0.83,14:55:00,-1.59,08:55:00,43.0,12:10:00,True,10:20:00,True,07:00:00,True,Short,1.0,Broken,Short,0.0,Broken,Short,0.0,Broken
21/02/2008,Thursday,True,05:20:00,True,13:45:00,False,,1.1,08:50:00,-1.47,15:55:00,46.0,06:30:00,True,10:40:00,True,10:55:00,True,Long,1.0,Broken,Short,0.0,Broken,Long,0.0,Complete
22/02/2008,Friday,False,,False,,True,10:05:00,0.68,08:55:00,-1.68,15:20:00,41.75,08:35:00,True,06:50:00,True,10:00:00,True,Short,0.0,Broken,Long,0.0,Broken,Long,0.0,Broken
25/02/2008,Monday,True,18:45:00,False,,False,,1.06,15:40:00,-0.65,13:35:00,30.25,14:30:00,True,06:05:00,True,08:20:00,True,Long,1.0,Broken,Long,0.0,Broken,Short,0.0,Broken
26/02/2008,Tuesday,True,04:20:00,True,08:30:00,False,,1.33,13:00:00,-1.23,10:40:00,45.75,12:05:00,True,06:40:00,True,08:30:00,True,Long,0.0,Broken,Long,1.0,Broken,Short,1.0,Broken
27/02/2008,Wednesday,False,,True,07:55:00,False,,0.68,12:55:00,-1.13,09:30:00,32.5,10:40:00,True,06:15:00,True,07:50:00,True,Long,1.0,Broken,Short,1.0,Broken,Short,0.0,Broken
28/02/2008,Thursday,True,10:40:00,True,08:30:00,False,,0.28,10:40:00,-1.36,16:10:00,29.5,10:35:00,True,06:35:00,True,08:30:00,True,Short,1.0,Broken,Short,1.0,Broken,Short,0.0,Broken
29/02/2008,Friday,False,,False,,True,18:55:00,0.28,18:00:00,-2.57,15:50:00,46.5,,False,09:35:00,True,06:05:00,True,Short,1.0,Complete,Long,0.0,Broken,Long,0.0,Complete
2008-03-03 00:00:00,Monday,False,,False,,True,19:20:00,0.09,18:45:00,-1.7,14:55:00,31.25,,False,06:00:00,True,11:00:00,True,Short,1.0,Broken,Short,0.0,Broken,Long,0.0,Broken
2008-04-03 00:00:00,Tuesday,True,15:40:00,True,18:35:00,True,06:35:00,0.78,15:40:00,-1.65,14:05:00,42.25,15:15:00,True,15:00:00,True,06:25:00,True,Short,1.0,Broken,Long,0.0,Broken,Long,0.0,Broken
2008-05-03 00:00:00,Wednesday,True,05:55:00,False,,False,,1.37,12:00:00,-0.46,14:00:00,32.0,06:05:00,True,09:30:00,True,13:35:00,True,Short,0.0,Broken,Short,0.0,Broken,Short,0.0,Broken
2008-06-03 00:00:00,Thursday,True,22:20:00,True,03:50:00,True,12:10:00,0.78,23:25:00,-2.74,16:00:00,62.0,,False,,False,08:05:00,True,Long,1.0,Broken,Short,1.0,Complete,,,Complete
2008-07-03 00:00:00,Friday,False,,False,,True,03:15:00,1.09,10:40:00,-1.92,14:40:00,51.75,07:20:00,True,07:00:00,True,08:35:00,True,Short,1.0,Complete,Short,0.0,Broken,Short,0.0,Broken
2008-10-03 00:00:00,Monday,False,,True,04:00:00,True,14:05:00,0.56,07:20:00,-2.0,15:50:00,43.75,06:55:00,True,09:30:00,True,11:20:00,True,,,Broken,Short,0.0,Broken,Short,1.0,Complete
2008-11-03 00:00:00,Tuesday,True,14:35:00,True,08:40:00,True,20:10:00,4.97,16:10:00,-0.03,18:15:00,83.5,06:00:00,True,08:00:00,True,,False,Long,1.0,Complete,Short,0.0,Broken,Long,1.0,Complete
2008-12-03 00:00:00,Wednesday,True,14:35:00,True,08:40:00,True,20:10:00,6.17,11:15:00,-0.03,18:15:00,103.5,06:00:00,True,08:00:00,True,,False,Long,1.0,Complete,Short,0.0,Broken,Short,0.0,Broken
13/03/2008,Thursday,True,14:35:00,True,08:40:00,True,20:10:00,1.46,15:25:00,-2.12,10:45:00,62.5,13:05:00,True,09:30:00,True,10:45:00,True,Short,1.0,Complete,Short,1.0,Broken,Short,0.0,Complete
14/03/2008,Friday,True,08:30:00,True,09:55:00,True,14:25:00,1.65,09:10:00,-2.98,14:40:00,81.25,08:30:00,True,07:00:00,True,09:50:00,True,Long,0.0,Broken,Short,0.0,Broken,Long,0.0,Complete
17/03/2008,Monday,False,,True,19:15:00,True,20:15:00,1.98,19:15:00,-2.73,13:35:00,81.0,,False,,False,13:35:00,True,Short,1.0,Complete,Short,1.0,Broken,Short,0.0,Broken
18/03/2008,Tuesday,True,15:20:00,True,06:35:00,False,,4.2,16:10:00,-0.4,00:05:00,78.25,06:35:00,True,,False,,False,Long,0.0,Complete,Short,0.0,Broken,Long,1.0,Complete
19/03/2008,Wednesday,True,15:20:00,True,06:35:00,False,,0.61,09:15:00,-2.82,15:55:00,60.75,09:10:00,True,07:30:00,True,10:35:00,True,Short,0.0,Broken,Short,1.0,Broken,Long,0.0,Broken
20/03/2008,Thursday,False,,True,15:00:00,True,18:40:00,2.1,15:55:00,-0.77,22:40:00,49.5,06:15:00,True,08:35:00,True,,False,Short,1.0,Broken,Short,1.0,Broken,Short,0.0,Broken
24/03/2008,Monday,True,20:25:00,False,,False,,4.21,13:55:00,-0.24,18:05:00,78.0,08:45:00,True,,False,,False,Long,1.0,Complete,Long,1.0,Complete,Long,1.0,Complete
